Date|Home Team|Away Team|Home Goals|Away Goals|Tier
1915-04-29|Hull|Grimsby|4|1|2
1915-04-28|Newcastle|Aston Villa|3|0|1
1915-04-28|Notts Co|Chelsea|2|0|1
1915-04-28|Bradford PA|Bradford|3|0|1
1915-04-26|Bolton|Sheff Utd|0|1|1
1915-04-26|Everton|Chelsea|2|2|1
1915-04-26|Man Utd|Aston Villa|1|0|1
1915-04-24|Sheff Wed|Burnley|0|0|1
1915-04-24|Blackburn|Middlesbro|4|0|1
1915-04-24|Notts Co|Newcastle|1|0|1
1915-04-24|Oldham|Liverpool|0|2|1
1915-04-24|West Brom|Bradford|3|0|1
1915-04-24|Sunderland|Tottenham|5|0|1
1915-04-24|Bradford PA|Man City|3|1|1
1915-04-24|Leyton Orient|Leicester|2|0|2
1915-04-24|Lincoln|Bury|2|3|2
1915-04-24|Hull|Glossop|2|0|2
1915-04-24|Fulham|Blackpool|0|1|2
1915-04-24|Birmingham|Bristol C|1|1|2
1915-04-24|Grimsby|Huddersfield|0|0|2
1915-04-24|Arsenal|Nottm Forest|7|0|2
1915-04-24|Stockport|Wolves|2|2|2
1915-04-24|Derby|Preston|2|0|2
1915-04-24|Leeds City|Barnsley|0|2|2
1915-04-21|Aston Villa|Man City|4|1|1
1915-04-20|Oldham|Burnley|1|2|1
1915-04-19|Chelsea|Man Utd|1|3|1
1915-04-19|Tottenham|Sheff Utd|1|1|1
1915-04-19|Wolves|Birmingham|0|0|2
1915-04-17|Chelsea|West Brom|4|1|1
1915-04-17|Sheff Utd|Man Utd|3|1|1
1915-04-17|Liverpool|Bradford PA|2|1|1
1915-04-17|Newcastle|Blackburn|2|1|1
1915-04-17|Aston Villa|Oldham|0|0|1
1915-04-17|Middlesbro|Bolton|0|0|1
1915-04-17|Burnley|Sunderland|2|1|1
1915-04-17|Man City|Everton|0|1|1
1915-04-17|Bradford|Sheff Wed|1|0|1
1915-04-17|Preston|Arsenal|3|0|2
1915-04-17|Huddersfield|Birmingham|0|0|2
1915-04-17|Wolves|Fulham|2|0|2
1915-04-17|Nottm Forest|Leyton Orient|0|1|2
1915-04-17|Blackpool|Grimsby|5|0|2
1915-04-17|Bristol C|Lincoln|2|1|2
1915-04-17|Glossop|Stockport|1|1|2
1915-04-17|Bury|Derby|2|0|2
1915-04-17|Barnsley|Hull|1|0|2
1915-04-17|Leicester|Leeds City|5|1|2
1915-04-15|Hull|Huddersfield|0|4|2
1915-04-14|Newcastle|Burnley|1|2|1
1915-04-14|Bolton|Chelsea|3|1|1
1915-04-14|Bradford PA|Everton|1|2|1
1915-04-14|Blackpool|Birmingham|3|1|2
1915-04-12|Liverpool|Sheff Utd|2|1|1
1915-04-10|Sheff Wed|Chelsea|3|2|1
1915-04-10|Blackburn|Tottenham|4|1|1
1915-04-10|Notts Co|Burnley|0|0|1
1915-04-10|Bolton|Newcastle|0|0|1
1915-04-10|Oldham|Sheff Utd|3|0|1
1915-04-10|West Brom|Everton|1|2|1
1915-04-10|Man Utd|Middlesbro|2|2|1
1915-04-10|Sunderland|Bradford|1|1|1
1915-04-10|Bradford PA|Aston Villa|2|2|1
1915-04-10|Leyton Orient|Preston|1|1|2
1915-04-10|Lincoln|Huddersfield|1|1|2
1915-04-10|Hull|Leicester|2|1|2
1915-04-10|Fulham|Glossop|2|0|2
1915-04-10|Wolves|Blackpool|2|0|2
1915-04-10|Birmingham|Grimsby|3|0|2
1915-04-10|Arsenal|Bury|3|1|2
1915-04-10|Stockport|Barnsley|1|2|2
1915-04-10|Derby|Bristol C|1|0|2
1915-04-10|Leeds City|Nottm Forest|4|0|2
1915-04-06|Oldham|Man Utd|1|0|1
1915-04-06|West Brom|Tottenham|3|2|1
1915-04-06|Sunderland|Everton|0|3|1
1915-04-06|Bradford|Man City|0|0|1
1915-04-06|Huddersfield|Bristol C|5|3|2
1915-04-06|Fulham|Hull|4|1|2
1915-04-06|Leeds City|Wolves|2|3|2
1915-04-05|Sheff Utd|Sunderland|1|1|1
1915-04-05|Liverpool|Blackburn|3|0|1
1915-04-05|Notts Co|Aston Villa|1|1|1
1915-04-05|Middlesbro|Sheff Wed|3|1|1
1915-04-05|Burnley|Chelsea|2|0|1
1915-04-05|Man City|Oldham|0|0|1
1915-04-05|West Brom|Newcastle|2|0|1
1915-04-05|Bradford PA|Man Utd|5|0|1
1915-04-05|Leyton Orient|Glossop|5|2|2
1915-04-05|Lincoln|Nottm Forest|2|1|2
1915-04-05|Hull|Fulham|2|0|2
1915-04-05|Wolves|Leeds City|5|1|2
1915-04-05|Birmingham|Preston|1|1|2
1915-04-05|Blackpool|Stockport|4|2|2
1915-04-05|Bristol C|Huddersfield|0|1|2
1915-04-05|Grimsby|Bury|1|0|2
1915-04-05|Arsenal|Barnsley|1|0|2
1915-04-05|Derby|Leicester|1|0|2
1915-04-03|Chelsea|Sunderland|3|0|1
1915-04-03|Sheff Utd|Bradford PA|3|2|1
1915-04-03|Tottenham|Bolton|4|2|1
1915-04-03|Newcastle|Man Utd|2|0|1
1915-04-03|Aston Villa|Liverpool|6|2|1
1915-04-03|Middlesbro|Oldham|4|1|1
1915-04-03|Everton|Sheff Wed|0|1|1
1915-04-03|Burnley|Blackburn|3|2|1
1915-04-03|Man City|West Brom|4|0|1
1915-04-03|Bradford|Notts Co|3|1|1
1915-04-03|Preston|Leeds City|2|0|2
1915-04-03|Huddersfield|Derby|0|0|2
1915-04-03|Nottm Forest|Hull|1|0|2
1915-04-03|Bristol C|Arsenal|1|1|2
1915-04-03|Grimsby|Lincoln|5|1|2
1915-04-03|Glossop|Wolves|0|2|2
1915-04-03|Bury|Leyton Orient|3|0|2
1915-04-03|Barnsley|Fulham|2|2|2
1915-04-03|Leicester|Stockport|5|4|2
1915-04-02|Chelsea|Bradford|2|0|1
1915-04-02|Tottenham|Newcastle|0|0|1
1915-04-02|Notts Co|Sheff Utd|3|1|1
1915-04-02|Bolton|Bradford PA|3|2|1
1915-04-02|Aston Villa|Blackburn|2|1|1
1915-04-02|Everton|Burnley|0|2|1
1915-04-02|Man Utd|Liverpool|2|0|1
1915-04-02|Sunderland|Middlesbro|4|1|1
1915-04-02|Preston|Birmingham|2|0|2
1915-04-02|Lincoln|Leicester|2|3|2
1915-04-02|Hull|Arsenal|1|0|2
1915-04-02|Blackpool|Huddersfield|3|2|2
1915-04-02|Glossop|Leyton Orient|3|1|2
1915-04-02|Bury|Grimsby|2|2|2
1915-04-02|Stockport|Fulham|0|2|2
1915-04-02|Barnsley|Derby|1|0|2
1915-03-29|Sheff Utd|Man City|0|0|1
1915-03-29|Liverpool|Newcastle|2|2|1
1915-03-29|Blackburn|Bradford|2|1|1
1915-03-29|Fulham|Lincoln|3|1|2
1915-03-27|Sheff Wed|West Brom|0|0|1
1915-03-27|Oldham|Newcastle|1|0|1
1915-03-27|Man Utd|Tottenham|1|1|1
1915-03-27|Bradford PA|Middlesbro|2|0|1
1915-03-27|Leyton Orient|Bristol C|2|0|2
1915-03-27|Lincoln|Birmingham|0|1|2
1915-03-27|Hull|Preston|0|1|2
1915-03-27|Fulham|Leicester|1|0|2
1915-03-27|Wolves|Barnsley|4|1|2
1915-03-27|Glossop|Blackpool|1|3|2
1915-03-27|Arsenal|Huddersfield|0|3|2
1915-03-27|Stockport|Nottm Forest|1|0|2
1915-03-27|Derby|Grimsby|1|1|2
1915-03-27|Leeds City|Bury|2|1|2
1915-03-25|Leicester|Bristol C|1|3|2
1915-03-24|Liverpool|West Brom|3|1|1
1915-03-24|Bradford|Oldham|1|0|1
1915-03-24|Birmingham|Hull|2|2|2
1915-03-22|Everton|Bolton|5|3|1
1915-03-20|Chelsea|Blackburn|1|3|1
1915-03-20|Sheff Utd|Aston Villa|3|0|1
1915-03-20|Tottenham|Oldham|1|0|1
1915-03-20|Newcastle|Bradford PA|1|1|1
1915-03-20|Middlesbro|Liverpool|3|0|1
1915-03-20|Everton|Notts Co|4|0|1
1915-03-20|Burnley|Man Utd|3|0|1
1915-03-20|Man City|Sheff Wed|4|0|1
1915-03-20|West Brom|Sunderland|1|2|1
1915-03-20|Bradford|Bolton|4|2|1
1915-03-20|Preston|Stockport|2|0|2
1915-03-20|Huddersfield|Leyton Orient|1|1|2
1915-03-20|Birmingham|Derby|0|2|2
1915-03-20|Nottm Forest|Fulham|2|2|2
1915-03-20|Blackpool|Lincoln|0|0|2
1915-03-20|Bristol C|Leeds City|1|0|2
1915-03-20|Grimsby|Arsenal|1|0|2
1915-03-20|Bury|Hull|0|1|2
1915-03-20|Barnsley|Glossop|2|0|2
1915-03-20|Leicester|Wolves|0|3|2
1915-03-17|Newcastle|Chelsea|2|0|1
1915-03-17|Notts Co|Bolton|0|0|1
1915-03-17|Middlesbro|Sheff Utd|2|2|1
1915-03-17|Everton|Oldham|3|4|1
1915-03-17|Bradford PA|Sheff Wed|1|1|1
1915-03-16|Glossop|Hull|0|5|2
1915-03-15|Tottenham|Man City|2|2|1
1915-03-13|Liverpool|Man City|3|2|1
1915-03-13|Blackburn|Everton|2|1|1
1915-03-13|Notts Co|West Brom|1|1|1
1915-03-13|Bolton|Burnley|3|1|1
1915-03-13|Aston Villa|Middlesbro|5|0|1
1915-03-13|Man Utd|Bradford|1|0|1
1915-03-13|Sunderland|Sheff Wed|3|1|1
1915-03-13|Bradford PA|Tottenham|5|1|1
1915-03-13|Leyton Orient|Grimsby|2|1|2
1915-03-13|Hull|Bristol C|1|1|2
1915-03-13|Fulham|Preston|0|2|2
1915-03-13|Wolves|Nottm Forest|5|1|2
1915-03-13|Glossop|Leicester|2|3|2
1915-03-13|Arsenal|Birmingham|1|0|2
1915-03-13|Stockport|Bury|1|0|2
1915-03-13|Barnsley|Blackpool|1|2|2
1915-03-13|Derby|Lincoln|3|0|2
1915-03-13|Leeds City|Huddersfield|1|0|2
1915-03-11|Hull|Lincoln|6|1|2
1915-03-10|Newcastle|Middlesbro|1|2|1
1915-03-10|Bolton|Sunderland|1|1|1
1915-03-10|Bradford|Liverpool|3|2|1
1915-03-09|Oldham|West Brom|1|1|1
1915-03-08|Sheff Utd|Chelsea|1|1|1
1915-03-08|Barnsley|Birmingham|2|1|2
1915-03-06|Sheff Wed|Notts Co|0|0|1
1915-03-06|Tottenham|Liverpool|1|1|1
1915-03-06|Burnley|Bradford PA|2|0|1
1915-03-06|Man City|Sunderland|2|0|1
1915-03-06|West Brom|Blackburn|0|0|1
1915-03-06|Preston|Wolves|5|3|2
1915-03-06|Lincoln|Arsenal|1|0|2
1915-03-06|Birmingham|Leyton Orient|1|0|2
1915-03-06|Nottm Forest|Glossop|1|0|2
1915-03-06|Blackpool|Derby|2|1|2
1915-03-06|Bristol C|Stockport|0|2|2
1915-03-06|Grimsby|Leeds City|2|5|2
1915-03-06|Bury|Fulham|1|0|2
1915-03-06|Leicester|Barnsley|0|1|2
1915-03-01|Chelsea|Bradford PA|0|1|1
1915-03-01|Sheff Wed|Bolton|7|0|1
1915-03-01|Birmingham|Fulham|1|0|2
1915-02-27|Sheff Utd|Newcastle|1|0|1
1915-02-27|Liverpool|Burnley|3|0|1
1915-02-27|Blackburn|Sheff Wed|1|1|1
1915-02-27|Notts Co|Sunderland|2|1|1
1915-02-27|Bolton|West Brom|1|1|1
1915-02-27|Oldham|Chelsea|0|0|1
1915-02-27|Aston Villa|Tottenham|3|1|1
1915-02-27|Middlesbro|Man City|1|0|1
1915-02-27|Man Utd|Everton|1|2|1
1915-02-27|Leyton Orient|Lincoln|3|1|2
1915-02-27|Fulham|Bristol C|1|2|2
1915-02-27|Wolves|Bury|1|1|2
1915-02-27|Glossop|Preston|0|1|2
1915-02-27|Arsenal|Derby|1|2|2
1915-02-27|Stockport|Huddersfield|2|1|2
1915-02-27|Barnsley|Nottm Forest|3|0|2
1915-02-27|Leeds City|Birmingham|2|0|2
1915-02-27|Leicester|Blackpool|2|2|2
1915-02-22|Burnley|Aston Villa|2|1|1
1915-02-22|Man City|Notts Co|0|0|1
1915-02-20|Tottenham|Notts Co|2|0|1
1915-02-20|West Brom|Man Utd|0|0|1
1915-02-20|Sunderland|Blackburn|5|1|1
1915-02-20|Preston|Barnsley|5|2|2
1915-02-20|Lincoln|Leeds City|0|1|2
1915-02-20|Huddersfield|Fulham|2|2|2
1915-02-20|Nottm Forest|Leicester|1|3|2
1915-02-20|Blackpool|Arsenal|0|2|2
1915-02-20|Bristol C|Wolves|0|1|2
1915-02-20|Grimsby|Stockport|6|1|2
1915-02-20|Bury|Glossop|5|0|2
1915-02-20|Derby|Leyton Orient|0|3|2
1915-02-13|Sheff Utd|Burnley|1|0|1
1915-02-13|Liverpool|Chelsea|3|3|1
1915-02-13|Newcastle|Man City|2|1|1
1915-02-13|Blackburn|Notts Co|5|1|1
1915-02-13|Aston Villa|Bradford|0|0|1
1915-02-13|Middlesbro|Tottenham|7|5|1
1915-02-13|Man Utd|Sheff Wed|2|0|1
1915-02-13|Leyton Orient|Arsenal|1|0|2
1915-02-13|Fulham|Grimsby|2|1|2
1915-02-13|Wolves|Huddersfield|4|1|2
1915-02-13|Nottm Forest|Blackpool|2|1|2
1915-02-13|Glossop|Bristol C|2|1|2
1915-02-13|Stockport|Birmingham|3|1|2
1915-02-13|Barnsley|Bury|2|0|2
1915-02-13|Leeds City|Derby|3|5|2
1915-02-13|Leicester|Preston|2|3|2
1915-02-11|Preston|Bristol C|4|1|2
1915-02-10|Aston Villa|Everton|1|5|1
1915-02-06|Chelsea|Aston Villa|3|1|1
1915-02-06|Sheff Wed|Oldham|2|2|1
1915-02-06|Everton|Liverpool|1|3|1
1915-02-06|Burnley|Middlesbro|4|0|1
1915-02-06|Man City|Blackburn|1|3|1
1915-02-06|West Brom|Bradford PA|1|0|1
1915-02-06|Sunderland|Man Utd|1|0|1
1915-02-06|Bradford|Sheff Utd|1|1|1
1915-02-06|Preston|Nottm Forest|2|2|2
1915-02-06|Lincoln|Stockport|2|2|2
1915-02-06|Huddersfield|Glossop|0|1|2
1915-02-06|Blackpool|Leyton Orient|5|1|2
1915-02-06|Bristol C|Barnsley|3|1|2
1915-02-06|Grimsby|Wolves|1|4|2
1915-02-06|Bury|Leicester|3|1|2
1915-02-06|Arsenal|Leeds City|2|0|2
1915-02-06|Derby|Hull|4|1|2
1915-02-04|Nottm Forest|Bury|1|1|2
1915-02-03|Middlesbro|Bradford|3|0|1
1915-02-03|Leeds City|Leyton Orient|0|1|2
1915-02-01|Oldham|Sunderland|4|5|1
1915-01-30|Man Utd|Notts Co|2|2|1
1915-01-30|Preston|Blackpool|1|0|2
1915-01-30|Glossop|Grimsby|0|0|2
1915-01-30|Stockport|Derby|3|2|2
1915-01-30|Barnsley|Huddersfield|1|0|2
1915-01-30|Leicester|Leyton Orient|1|1|2
1915-01-25|Bury|Blackpool|2|2|2
1915-01-23|Chelsea|Middlesbro|2|2|1
1915-01-23|Sheff Wed|Liverpool|2|1|1
1915-01-23|Blackburn|Man Utd|3|3|1
1915-01-23|Notts Co|Oldham|2|1|1
1915-01-23|Everton|Sheff Utd|0|0|1
1915-01-23|Burnley|Tottenham|3|1|1
1915-01-23|Man City|Bolton|2|1|1
1915-01-23|West Brom|Aston Villa|2|0|1
1915-01-23|Sunderland|Bradford PA|3|3|1
1915-01-23|Bradford|Newcastle|1|1|1
1915-01-23|Leyton Orient|Hull|0|3|2
1915-01-23|Lincoln|Wolves|2|2|2
1915-01-23|Birmingham|Glossop|11|1|2
1915-01-23|Blackpool|Leeds City|1|0|2
1915-01-23|Bristol C|Nottm Forest|1|2|2
1915-01-23|Grimsby|Barnsley|2|3|2
1915-01-23|Bury|Preston|0|0|2
1915-01-23|Arsenal|Stockport|3|1|2
1915-01-23|Derby|Fulham|1|1|2
1915-01-18|Burnley|Man City|1|2|1
1915-01-16|Sheff Utd|West Brom|2|0|1
1915-01-16|Liverpool|Sunderland|2|1|1
1915-01-16|Tottenham|Bradford|0|0|1
1915-01-16|Oldham|Blackburn|3|2|1
1915-01-16|Aston Villa|Sheff Wed|0|0|1
1915-01-16|Middlesbro|Everton|5|1|1
1915-01-16|Man Utd|Bolton|4|1|1
1915-01-16|Bradford PA|Notts Co|3|1|1
1915-01-16|Hull|Leeds City|2|6|2
1915-01-16|Fulham|Arsenal|0|1|2
1915-01-16|Wolves|Derby|0|1|2
1915-01-16|Nottm Forest|Huddersfield|3|2|2
1915-01-16|Glossop|Lincoln|1|2|2
1915-01-16|Stockport|Leyton Orient|2|0|2
1915-01-16|Leicester|Grimsby|2|0|2
1915-01-02|Chelsea|Tottenham|1|1|1
1915-01-02|Sheff Wed|Sheff Utd|1|1|1
1915-01-02|Blackburn|Bradford PA|2|2|1
1915-01-02|Notts Co|Liverpool|3|1|1
1915-01-02|Bolton|Oldham|2|0|1
1915-01-02|Everton|Newcastle|3|0|1
1915-01-02|Man City|Man Utd|1|1|1
1915-01-02|West Brom|Middlesbro|1|0|1
1915-01-02|Sunderland|Aston Villa|4|0|1
1915-01-02|Bradford|Burnley|0|0|1
1915-01-02|Leyton Orient|Fulham|2|1|2
1915-01-02|Lincoln|Barnsley|3|0|2
1915-01-02|Huddersfield|Preston|3|1|2
1915-01-02|Birmingham|Leicester|2|0|2
1915-01-02|Blackpool|Hull|1|2|2
1915-01-02|Bristol C|Bury|1|0|2
1915-01-02|Grimsby|Nottm Forest|4|0|2
1915-01-02|Arsenal|Wolves|5|1|2
1915-01-02|Derby|Glossop|1|1|2
1915-01-02|Leeds City|Stockport|1|3|2
1915-01-01|Sheff Wed|Newcastle|2|1|1
1915-01-01|Blackburn|Sheff Utd|1|2|1
1915-01-01|Bolton|Aston Villa|2|2|1
1915-01-01|Oldham|Man City|0|0|1
1915-01-01|Middlesbro|Sunderland|2|3|1
1915-01-01|Everton|Tottenham|1|1|1
1915-01-01|Man Utd|Bradford PA|1|2|1
1915-01-01|Blackpool|Bristol C|2|0|2
1915-01-01|Bury|Huddersfield|3|1|2
1915-01-01|Stockport|Hull|3|0|2
1915-01-01|Barnsley|Arsenal|1|0|2
1914-12-28|Chelsea|Burnley|1|4|1
1914-12-28|Sheff Utd|Notts Co|1|0|1
1914-12-28|Birmingham|Nottm Forest|3|0|2
1914-12-28|Leicester|Derby|0|6|2
1914-12-26|Sheff Utd|Blackburn|1|2|1
1914-12-26|Liverpool|Man Utd|1|1|1
1914-12-26|Tottenham|Sheff Wed|6|1|1
1914-12-26|Notts Co|Middlesbro|5|1|1
1914-12-26|Oldham|Bradford PA|6|2|1
1914-12-26|Aston Villa|Bolton|1|7|1
1914-12-26|Man City|Chelsea|2|1|1
1914-12-26|West Brom|Burnley|3|0|1
1914-12-26|Sunderland|Newcastle|2|4|1
1914-12-26|Bradford|Everton|0|1|1
1914-12-26|Preston|Lincoln|0|0|2
1914-12-26|Huddersfield|Blackpool|5|0|2
1914-12-26|Fulham|Stockport|1|0|2
1914-12-26|Wolves|Hull|1|2|2
1914-12-26|Bristol C|Grimsby|7|0|2
1914-12-26|Bury|Birmingham|1|3|2
1914-12-26|Arsenal|Leicester|6|0|2
1914-12-26|Barnsley|Leyton Orient|1|0|2
1914-12-26|Derby|Nottm Forest|1|0|2
1914-12-26|Leeds City|Glossop|3|0|2
1914-12-25|Chelsea|Man City|0|0|1
1914-12-25|Sheff Wed|Tottenham|3|2|1
1914-12-25|Newcastle|Sunderland|2|5|1
1914-12-25|Blackburn|Aston Villa|1|2|1
1914-12-25|Bolton|Liverpool|0|1|1
1914-12-25|Middlesbro|Notts Co|1|0|1
1914-12-25|Everton|Bradford|1|1|1
1914-12-25|Burnley|West Brom|0|2|1
1914-12-25|Bradford PA|Oldham|1|1|1
1914-12-25|Leyton Orient|Barnsley|4|2|2
1914-12-25|Lincoln|Preston|3|1|2
1914-12-25|Hull|Wolves|5|1|2
1914-12-25|Birmingham|Bury|1|0|2
1914-12-25|Nottm Forest|Derby|2|2|2
1914-12-25|Grimsby|Bristol C|2|3|2
1914-12-25|Glossop|Leeds City|0|3|2
1914-12-25|Stockport|Blackpool|0|2|2
1914-12-25|Leicester|Arsenal|1|4|2
1914-12-19|Chelsea|Everton|2|0|1
1914-12-19|Sheff Utd|Bolton|3|1|1
1914-12-19|Liverpool|Oldham|1|2|1
1914-12-19|Tottenham|Sunderland|0|6|1
1914-12-19|Newcastle|Notts Co|1|1|1
1914-12-19|Aston Villa|Man Utd|3|3|1
1914-12-19|Middlesbro|Blackburn|1|4|1
1914-12-19|Burnley|Sheff Wed|2|3|1
1914-12-19|Man City|Bradford PA|2|3|1
1914-12-19|Bradford|West Brom|5|0|1
1914-12-19|Preston|Derby|1|3|2
1914-12-19|Huddersfield|Grimsby|3|1|2
1914-12-19|Wolves|Stockport|4|1|2
1914-12-19|Blackpool|Fulham|2|2|2
1914-12-19|Bristol C|Birmingham|2|3|2
1914-12-19|Barnsley|Leeds City|2|1|2
1914-12-14|Bury|Lincoln|1|1|2
1914-12-12|Sheff Wed|Bradford|3|3|1
1914-12-12|Blackburn|Newcastle|2|3|1
1914-12-12|Notts Co|Tottenham|1|2|1
1914-12-12|Bolton|Middlesbro|4|0|1
1914-12-12|Oldham|Aston Villa|3|3|1
1914-12-12|Everton|Man City|4|1|1
1914-12-12|West Brom|Chelsea|2|0|1
1914-12-12|Man Utd|Sheff Utd|1|2|1
1914-12-12|Sunderland|Burnley|2|1|1
1914-12-12|Bradford PA|Liverpool|1|0|1
1914-12-12|Leyton Orient|Nottm Forest|0|0|2
1914-12-12|Lincoln|Bristol C|3|1|2
1914-12-12|Hull|Barnsley|2|1|2
1914-12-12|Fulham|Wolves|0|1|2
1914-12-12|Birmingham|Huddersfield|1|0|2
1914-12-12|Grimsby|Blackpool|2|0|2
1914-12-12|Arsenal|Preston|1|2|2
1914-12-12|Stockport|Glossop|2|1|2
1914-12-12|Derby|Bury|2|1|2
1914-12-12|Leeds City|Leicester|7|2|2
1914-12-05|Chelsea|Sheff Wed|0|0|1
1914-12-05|Sheff Utd|Oldham|3|0|1
1914-12-05|Tottenham|Blackburn|0|4|1
1914-12-05|Newcastle|Bolton|1|2|1
1914-12-05|Aston Villa|Bradford PA|1|2|1
1914-12-05|Middlesbro|Man Utd|1|1|1
1914-12-05|Everton|West Brom|2|1|1
1914-12-05|Burnley|Notts Co|0|0|1
1914-12-05|Man City|Liverpool|1|1|1
1914-12-05|Bradford|Sunderland|3|1|1
1914-12-05|Preston|Leyton Orient|2|2|2
1914-12-05|Huddersfield|Lincoln|0|1|2
1914-12-05|Nottm Forest|Leeds City|3|1|2
1914-12-05|Blackpool|Wolves|1|0|2
1914-12-05|Bristol C|Derby|2|3|2
1914-12-05|Grimsby|Birmingham|1|0|2
1914-12-05|Glossop|Fulham|1|0|2
1914-12-05|Bury|Arsenal|3|1|2
1914-12-05|Barnsley|Stockport|2|0|2
1914-12-05|Leicester|Hull|1|1|2
1914-11-28|Sheff Wed|Everton|1|4|1
1914-11-28|Liverpool|Aston Villa|3|6|1
1914-11-28|Blackburn|Burnley|6|0|1
1914-11-28|Notts Co|Bradford|0|0|1
1914-11-28|Bolton|Tottenham|4|2|1
1914-11-28|Oldham|Middlesbro|5|1|1
1914-11-28|West Brom|Man City|0|1|1
1914-11-28|Man Utd|Newcastle|1|0|1
1914-11-28|Sunderland|Chelsea|2|1|1
1914-11-28|Bradford PA|Sheff Utd|2|0|1
1914-11-28|Leyton Orient|Bury|2|2|2
1914-11-28|Lincoln|Grimsby|2|1|2
1914-11-28|Hull|Nottm Forest|3|1|2
1914-11-28|Fulham|Barnsley|2|0|2
1914-11-28|Wolves|Glossop|4|0|2
1914-11-28|Birmingham|Blackpool|3|0|2
1914-11-28|Arsenal|Bristol C|3|0|2
1914-11-28|Stockport|Leicester|3|0|2
1914-11-28|Derby|Huddersfield|1|0|2
1914-11-28|Leeds City|Preston|0|0|2
1914-11-25|Man City|Aston Villa|1|0|1
1914-11-21|Chelsea|Notts Co|4|1|1
1914-11-21|Sheff Utd|Liverpool|2|1|1
1914-11-21|Tottenham|Man Utd|2|0|1
1914-11-21|Newcastle|Oldham|1|2|1
1914-11-21|Middlesbro|Bradford PA|1|3|1
1914-11-21|Everton|Sunderland|7|1|1
1914-11-21|Burnley|Bolton|5|0|1
1914-11-21|West Brom|Sheff Wed|0|0|1
1914-11-21|Bradford|Blackburn|3|0|1
1914-11-21|Preston|Hull|2|1|2
1914-11-21|Huddersfield|Arsenal|3|0|2
1914-11-21|Birmingham|Lincoln|2|0|2
1914-11-21|Nottm Forest|Stockport|1|1|2
1914-11-21|Blackpool|Glossop|3|0|2
1914-11-21|Bristol C|Leyton Orient|3|0|2
1914-11-21|Grimsby|Derby|1|2|2
1914-11-21|Bury|Leeds City|0|0|2
1914-11-21|Barnsley|Wolves|2|1|2
1914-11-21|Leicester|Fulham|0|2|2
1914-11-18|Nottm Forest|Arsenal|1|1|2
1914-11-14|Sheff Wed|Man City|2|1|1
1914-11-14|Liverpool|Middlesbro|1|1|1
1914-11-14|Blackburn|Chelsea|3|2|1
1914-11-14|Notts Co|Everton|0|0|1
1914-11-14|Bolton|Bradford|3|5|1
1914-11-14|Oldham|Tottenham|4|1|1
1914-11-14|Aston Villa|Sheff Utd|1|0|1
1914-11-14|Man Utd|Burnley|0|2|1
1914-11-14|Sunderland|West Brom|1|2|1
1914-11-14|Bradford PA|Newcastle|1|0|1
1914-11-14|Leyton Orient|Huddersfield|3|1|2
1914-11-14|Lincoln|Blackpool|0|1|2
1914-11-14|Hull|Bury|3|1|2
1914-11-14|Fulham|Nottm Forest|2|1|2
1914-11-14|Wolves|Leicester|7|0|2
1914-11-14|Glossop|Barnsley|0|1|2
1914-11-14|Arsenal|Grimsby|6|0|2
1914-11-14|Stockport|Preston|2|1|2
1914-11-14|Derby|Birmingham|1|0|2
1914-11-14|Leeds City|Bristol C|1|1|2
1914-11-07|Chelsea|Bolton|2|1|1
1914-11-07|Sheff Wed|Sunderland|1|2|1
1914-11-07|Tottenham|Bradford PA|3|0|1
1914-11-07|Newcastle|Liverpool|0|0|1
1914-11-07|Middlesbro|Aston Villa|1|1|1
1914-11-07|Everton|Blackburn|1|3|1
1914-11-07|Burnley|Oldham|2|3|1
1914-11-07|Man City|Sheff Utd|0|0|1
1914-11-07|West Brom|Notts Co|4|1|1
1914-11-07|Bradford|Man Utd|4|2|1
1914-11-07|Preston|Fulham|2|1|2
1914-11-07|Lincoln|Derby|0|0|2
1914-11-07|Huddersfield|Leeds City|1|0|2
1914-11-07|Birmingham|Arsenal|3|0|2
1914-11-07|Nottm Forest|Wolves|3|1|2
1914-11-07|Blackpool|Barnsley|1|1|2
1914-11-07|Bristol C|Hull|5|2|2
1914-11-07|Grimsby|Leyton Orient|2|1|2
1914-11-07|Bury|Stockport|2|1|2
1914-11-07|Leicester|Glossop|3|2|2
1914-10-31|Sheff Utd|Middlesbro|0|1|1
1914-10-31|Liverpool|Tottenham|7|2|1
1914-10-31|Blackburn|West Brom|2|1|1
1914-10-31|Notts Co|Sheff Wed|1|2|1
1914-10-31|Bolton|Everton|0|0|1
1914-10-31|Oldham|Bradford|1|0|1
1914-10-31|Aston Villa|Newcastle|2|1|1
1914-10-31|Man Utd|Chelsea|2|2|1
1914-10-31|Sunderland|Man City|0|2|1
1914-10-31|Bradford PA|Burnley|2|2|1
1914-10-31|Leyton Orient|Birmingham|1|1|2
1914-10-31|Huddersfield|Hull|1|0|2
1914-10-31|Fulham|Bury|6|3|2
1914-10-31|Wolves|Preston|2|0|2
1914-10-31|Glossop|Nottm Forest|1|0|2
1914-10-31|Arsenal|Lincoln|1|1|2
1914-10-31|Stockport|Bristol C|2|2|2
1914-10-31|Barnsley|Leicester|1|0|2
1914-10-31|Derby|Blackpool|5|0|2
1914-10-31|Leeds City|Grimsby|5|0|2
1914-10-24|Chelsea|Oldham|2|2|1
